micro_id,year,ava_id,ava,tank
2016_SNC1_A,2016,SNC1,SNC,A
2016_SNC1_B,2016,SNC1,SNC,B
2016_SNC1_C,2016,SNC1,SNC,C
2016_SNC1_D,2016,SNC1,SNC,D
2016_RRV3_A,2016,RRV3,RRV,A
2016_RRV3_B,2016,RRV3,RRV,B
2016_RRV3_C,2016,RRV3,RRV,C
2016_RRV3_D,2016,RRV3,RRV,D
2016_RRV2_A,2016,RRV2,RRV,A
2016_RRV2_B,2016,RRV2,RRV,B
2016_RRV2_C,2016,RRV2,RRV,C
2016_RRV2_D,2016,RRV2,RRV,D
2016_AV1_A,2016,AV1,AV,A
2016_AV1_B,2016,AV1,AV,B
2016_AV1_C,2016,AV1,AV,C
2016_AV1_D,2016,AV1,AV,D
2016_CRN1_A,2016,CRN1,CRN,A
2016_CRN1_B,2016,CRN1,CRN,B
2016_CRN1_C,2016,CRN1,CRN,C
2016_CRN1_D,2016,CRN1,CRN,D
2016_SNC2_A,2016,SNC2,SNC,A
2016_SNC2_B,2016,SNC2,SNC,B
2016_SNC2_C,2016,SNC2,SNC,C
2016_SNC2_D,2016,SNC2,SNC,D
2016_OR1_A,2016,OR1,OR,A
2016_OR1_B,2016,OR1,OR,B
2016_OR1_C,2016,OR1,OR,C
2016_OR1_D,2016,OR1,OR,D
2016_SMV1_A,2016,SMV1,SMV,A
2016_SMV1_B,2016,SMV1,SMV,B
2016_SMV1_C,2016,SMV1,SMV,C
2016_SMV1_D,2016,SMV1,SMV,D
2016_AS1_A,2016,AS1,AS,A
2016_AS1_B,2016,AS1,AS,B
2016_AS1_C,2016,AS1,AS,C
2016_AS1_D,2016,AS1,AS,D
2016_AS2_A,2016,AS2,AS,A
2016_AS2_B,2016,AS2,AS,B
2016_AS2_C,2016,AS2,AS,C
2016_AS2_D,2016,AS2,AS,D
2016_SRH1_A,2016,SRH1,SRH,A
2016_SRH1_B,2016,SRH1,SRH,B
2016_SRH1_C,2016,SRH1,SRH,C
2016_SRH1_D,2016,SRH1,SRH,D
2016_SMV2_A,2016,SMV2,SMV,A
2016_SMV2_B,2016,SMV2,SMV,B
2016_SMV2_C,2016,SMV2,SMV,C
2016_SMV2_D,2016,SMV2,SMV,D
2016_RRV1_A,2016,RRV1,RRV,A
2016_RRV1_B,2016,RRV1,RRV,B
2016_RRV1_C,2016,RRV1,RRV,C
2016_RRV1_D,2016,RRV1,RRV,D
2017_SNC1_A,2017,SNC1,SNC,A
2017_SNC1_B,2017,SNC1,SNC,B
2017_SNC1_C,2017,SNC1,SNC,C
2017_SNC1_D,2017,SNC1,SNC,D
2017_RRV3_A,2017,RRV3,RRV,A
2017_RRV3_B,2017,RRV3,RRV,B
2017_RRV3_C,2017,RRV3,RRV,C
2017_RRV3_D,2017,RRV3,RRV,D
2017_RRV2_A,2017,RRV2,RRV,A
2017_RRV2_B,2017,RRV2,RRV,B
2017_RRV2_C,2017,RRV2,RRV,C
2017_RRV2_D,2017,RRV2,RRV,D
2017_AV1_A,2017,AV1,AV,A
2017_AV1_B,2017,AV1,AV,B
2017_AV1_C,2017,AV1,AV,C
2017_AV1_D,2017,AV1,AV,D
2017_CRN1_A,2017,CRN1,CRN,A
2017_CRN1_B,2017,CRN1,CRN,B
2017_CRN1_C,2017,CRN1,CRN,C
2017_CRN1_D,2017,CRN1,CRN,D
2017_SNC2_A,2017,SNC2,SNC,A
2017_SNC2_B,2017,SNC2,SNC,B
2017_SNC2_C,2017,SNC2,SNC,C
2017_SNC2_D,2017,SNC2,SNC,D
2017_AV2_A,2017,AV2,AV,A
2017_AV2_B,2017,AV2,AV,B
2017_AV2_C,2017,AV2,AV,C
2017_AV2_D,2017,AV2,AV,D
2017_OR1_A,2017,OR1,OR,A
2017_OR1_B,2017,OR1,OR,B
2017_OR1_C,2017,OR1,OR,C
2017_OR1_D,2017,OR1,OR,D
2017_AS2_A,2017,AS2,AS,A
2017_AS2_B,2017,AS2,AS,B
2017_AS2_C,2017,AS2,AS,C
2017_AS2_D,2017,AS2,AS,D
2017_SMV1_A,2017,SMV1,SMV,A
2017_SMV1_B,2017,SMV1,SMV,B
2017_SMV1_C,2017,SMV1,SMV,C
2017_SMV1_D,2017,SMV1,SMV,D
2017_AS1_A,2017,AS1,AS,A
2017_AS1_B,2017,AS1,AS,B
2017_AS1_C,2017,AS1,AS,C
2017_AS1_D,2017,AS1,AS,D
2017_SRH1_A,2017,SRH1,SRH,A
2017_SRH1_B,2017,SRH1,SRH,B
2017_SRH1_C,2017,SRH1,SRH,C
2017_SRH1_D,2017,SRH1,SRH,D
2017_SMV2_A,2017,SMV2,SMV,A
2017_SMV2_B,2017,SMV2,SMV,B
2017_SMV2_C,2017,SMV2,SMV,C
2017_SMV2_D,2017,SMV2,SMV,D
2017_RRV1_A,2017,RRV1,RRV,A
2017_RRV1_B,2017,RRV1,RRV,B
2017_RRV1_C,2017,RRV1,RRV,C
2017_RRV1_D,2017,RRV1,RRV,D
2017_OR2_A,2017,OR2,OR,A
2017_OR2_B,2017,OR2,OR,B
2017_OR2_C,2017,OR2,OR,C
2017_OR2_D,2017,OR2,OR,D
2019_SNC1_A,2019,SNC1,SNC,A
2019_SNC1_B,2019,SNC1,SNC,B
2019_SNC1_C,2019,SNC1,SNC,C
2019_SNC1_D,2019,SNC1,SNC,D
2019_RRV3_A,2019,RRV3,RRV,A
2019_RRV3_B,2019,RRV3,RRV,B
2019_RRV3_C,2019,RRV3,RRV,C
2019_RRV3_D,2019,RRV3,RRV,D
2019_RRV2_A,2019,RRV2,RRV,A
2019_RRV2_B,2019,RRV2,RRV,B
2019_RRV2_C,2019,RRV2,RRV,C
2019_RRV2_D,2019,RRV2,RRV,D
2019_AV1_A,2019,AV1,AV,A
2019_AV1_B,2019,AV1,AV,B
2019_AV1_C,2019,AV1,AV,C
2019_AV1_D,2019,AV1,AV,D
2019_CRN1_A,2019,CRN1,CRN,A
2019_CRN1_B,2019,CRN1,CRN,B
2019_CRN1_C,2019,CRN1,CRN,C
2019_CRN1_D,2019,CRN1,CRN,D
2019_AV2_A,2019,AV2,AV,A
2019_AV2_B,2019,AV2,AV,B
2019_AV2_C,2019,AV2,AV,C
2019_OR1_A,2019,OR1,OR,A
2019_OR1_B,2019,OR1,OR,B
2019_OR1_C,2019,OR1,OR,C
2019_OR1_D,2019,OR1,OR,D
2019_AS2_A,2019,AS2,AS,A
2019_AS2_B,2019,AS2,AS,B
2019_AS2_C,2019,AS2,AS,C
2019_AS2_D,2019,AS2,AS,D
2019_SMV1_A,2019,SMV1,SMV,A
2019_SMV1_B,2019,SMV1,SMV,B
2019_SMV1_C,2019,SMV1,SMV,C
2019_SMV1_D,2019,SMV1,SMV,D
2019_AS1_A,2019,AS1,AS,A
2019_AS1_B,2019,AS1,AS,B
2019_AS1_C,2019,AS1,AS,C
2019_AS1_D,2019,AS1,AS,D
2019_SRH1_A,2019,SRH1,SRH,A
2019_SRH1_B,2019,SRH1,SRH,B
2019_SRH1_C,2019,SRH1,SRH,C
2019_SRH1_D,2019,SRH1,SRH,D
2019_SMV2_A,2019,SMV2,SMV,A
2019_SMV2_B,2019,SMV2,SMV,B
2019_SMV2_C,2019,SMV2,SMV,C
2019_SMV2_D,2019,SMV2,SMV,D
2019_OR2_A,2019,OR2,OR,A
2019_OR2_B,2019,OR2,OR,B
2019_OR2_C,2019,OR2,OR,C
2019_OR2_D,2019,OR2,OR,D